test	n	min	median	mean
ANTS_ROT_EXP	3	5.53	6.75	6.61
ANTS_ROT_EXP_INVERSEWARP	3	0.65	0.65	0.65
ANTS_ROT_EXP_INVERSEWARP2	3	0.39	0.39	0.39
ANTS_ROT_EXP_WARP	3	0.51	0.51	0.52
ANTS_ROT_EXP_WARP2	3	0.38	0.40	0.39
ANTS_ROT_GSYN	3	10.37	11.86	13.24
ANTS_ROT_GSYN_INVERSEWARP	3	0.67	0.69	0.68
ANTS_ROT_GSYN_WARP	3	0.57	0.57	0.57
antsRegistrationTest_AffineRotationMasks	3	1.36	1.37	1.41
antsRegistrationTest_AffineRotationNoMasks	3	1.44	1.47	1.51
antsRegistrationTest_AffineScaleMasks	2	1.41	1.48	1.48
antsRegistrationTest_AffineScaleNoMasks	3	1.45	1.47	1.49
antsRegistrationTest_AffineTranslationMasks	3	0.23	0.24	0.24
antsRegistrationTest_AffineTranslationNoMasks	3	0.25	0.26	0.26
antsRegistrationTest_CCSimilarityRotationMasks	3	3.18	3.31	3.27
antsRegistrationTest_MSEAffineRotationMasks	3	0.24	0.24	0.24
antsRegistrationTest_MSESimilarityRotationMasks	3	0.16	0.16	0.16
antsRegistrationTest_MSESimilarityRotationMasks_Float	3	0.15	0.15	0.16
antsRegistrationTest_RigidAnisotropicMasks	3	3.14	3.21	3.22
antsRegistrationTest_RigidRotGeomNoMasks	3	2.47	2.77	2.75
antsRegistrationTest_RigidRotaRotaRotNoMasks	3	3.70	3.70	3.81
antsRegistrationTest_RigidRotaRotaRotNoMasks_Float	3	1.97	1.98	1.98
antsRegistrationTest_RigidRotationHeadMasks	3	1.50	1.67	1.70
antsRegistrationTest_RigidRotationMasks	3	1.34	1.53	1.48
antsRegistrationTest_RigidRotationNoMasks	3	1.49	1.50	1.53
antsRegistrationTest_ScaleRotationRescaleHeadMasks	3	1.21	1.21	1.22
antsRegistrationTest_ScaleRotationRescaleHeadMasks_Float	3	0.89	0.89	0.91
antsRegistrationTest_ScaleTranslationRescaleHeadMasks	3	1.19	1.20	1.20
antsRegistrationTest_SimilarityRotationMasks	1	1.12	1.12	1.12
antsRegistrationTest_SyNScaleNoMasks	3	1.69	1.70	1.71
antsRegistrationTest_SyNScaleNoMasks_Float	3	1.47	1.48	1.51
antsRegistrationTest_initialize_transforms_per_stage	3	0.58	0.59	0.59
