test	n	min	median	mean
ANTS_ROT_EXP	3	6.45	7.45	7.40
ANTS_ROT_EXP_INVERSEWARP	3	0.65	0.65	0.65
ANTS_ROT_EXP_INVERSEWARP2	3	0.37	0.37	0.37
ANTS_ROT_EXP_WARP	3	0.55	0.56	0.56
ANTS_ROT_EXP_WARP2	3	0.38	0.38	0.38
ANTS_ROT_GSYN	3	11.74	14.42	13.90
ANTS_ROT_GSYN_INVERSEWARP	3	0.65	0.65	0.65
ANTS_ROT_GSYN_WARP	3	0.57	0.59	0.58
antsRegistrationTest_AffineRotationMasks	3	1.33	1.35	1.39
antsRegistrationTest_AffineRotationNoMasks	3	1.44	1.46	1.46
antsRegistrationTest_AffineScaleMasks	3	1.32	1.36	1.36
antsRegistrationTest_AffineScaleNoMasks	3	1.49	1.49	1.50
antsRegistrationTest_AffineTranslationMasks	3	0.23	0.24	0.24
antsRegistrationTest_AffineTranslationNoMasks	3	0.25	0.25	0.25
antsRegistrationTest_CCSimilarityRotationMasks	3	3.25	3.26	3.27
antsRegistrationTest_MSESimilarityRotationMasks	3	0.14	0.15	0.15
antsRegistrationTest_MSESimilarityRotationMasks_Float	3	0.14	0.14	0.14
antsRegistrationTest_RigidAnisotropicMasks	3	3.11	3.26	3.22
antsRegistrationTest_RigidRotGeomNoMasks	3	2.43	2.66	2.64
antsRegistrationTest_RigidRotaRotaRotNoMasks	3	3.73	3.77	3.78
antsRegistrationTest_RigidRotaRotaRotNoMasks_Float	3	1.76	1.97	1.92
antsRegistrationTest_RigidRotationHeadMasks	3	1.54	1.64	1.62
antsRegistrationTest_RigidRotationMasks	3	1.34	1.42	1.40
antsRegistrationTest_RigidRotationNoMasks	3	1.52	1.61	1.58
antsRegistrationTest_ScaleRotationRescaleHeadMasks	3	1.18	1.19	1.19
antsRegistrationTest_ScaleRotationRescaleHeadMasks_Float	3	0.89	0.89	0.89
antsRegistrationTest_ScaleTranslationRescaleHeadMasks	3	1.19	1.19	1.20
antsRegistrationTest_SimilarityRotationMasks	1	0.92	0.92	0.92
antsRegistrationTest_SyNScaleNoMasks	3	1.70	1.70	1.71
antsRegistrationTest_SyNScaleNoMasks_Float	3	1.47	1.47	1.47
antsRegistrationTest_initialize_transforms_per_stage	3	0.54	0.56	0.55
