test	n	min	median	mean
BRAINSFitTest_AffineRotationMasks	3	0.70	0.94	0.86
BRAINSFitTest_AffineRotationNoMasks	3	1.18	1.77	1.60
BRAINSFitTest_AffineScaleMasks	3	0.99	1.24	1.18
BRAINSFitTest_AffineScaleNoMasks	3	1.42	1.89	1.75
BRAINSFitTest_AffineTranslationMasks	3	0.19	0.27	0.25
BRAINSFitTest_AffineTranslationNoMasks	3	0.19	0.25	0.23
BRAINSFitTest_BSplineAnteScaleRotationRescaleHeadMasks	3	4.29	5.26	5.14
BRAINSFitTest_BSplineOnlyRescaleHeadMasks	3	61.46	76.18	73.54
BRAINSFitTest_BSplineScaleRotationHeadMasksUShort	3	2.53	3.84	3.41
BRAINSFitTest_BSplineScaleRotationHistogramHeadMasks	3	2.35	3.17	2.90
BRAINSFitTest_BSplineScaleRotationHistogramHeadMasksUShort	3	2.13	3.18	2.84
BRAINSFitTest_BSplineScaleRotationRescaleHeadMasks	3	2.63	3.67	3.33
BRAINSFitTest_MIHAffineRotationMasks	3	0.90	1.49	1.30
BRAINSFitTest_MIHScaleSkewVersorRotationMasks	3	0.31	0.31	0.35
BRAINSFitTest_MSEAffineRotationMasks	3	0.19	0.29	0.26
BRAINSFitTest_MSEMetricBrainToItself	3	0.12	0.19	0.17
BRAINSFitTest_MSEScaleSkewVersorRotationMasks	3	0.21	0.30	0.27
BRAINSFitTest_NCAffineRotationMasks	3	0.32	0.51	0.45
BRAINSFitTest_NCMetricBrainToItself	3	0.12	0.19	0.17
BRAINSFitTest_NCScaleSkewVersorRotationMasks	3	0.26	0.38	0.34
BRAINSFitTest_RigidAnisotropicMasks	3	0.78	1.23	1.08
BRAINSFitTest_RigidMedianRotationNoMasks	3	0.57	1.06	0.91
BRAINSFitTest_RigidRotGeomNoMasks	3	0.82	1.56	1.32
BRAINSFitTest_RigidRotaRotaRotNoMasks	3	1.28	1.98	1.77
BRAINSFitTest_RigidRotationHeadMasks	3	0.58	1.00	0.86
BRAINSFitTest_RigidRotationMasks	3	3.93	5.53	5.03
BRAINSFitTest_RigidRotationNoMasksRiginInPlaceInterp	3	0.46	0.70	0.63
BRAINSFitTest_ScaleRotationRescaleHeadMasksNoInit	3	1.68	2.58	2.29
BRAINSFitTest_ScaleSkewVersorRotationMasks	3	0.54	0.94	0.81
BRAINSFitTest_ScaleSkewVersorRotationNoMasks	3	0.63	1.30	1.08
BRAINSFitTest_ScaleSkewVersorScaleMasks	3	0.48	0.89	0.76
BRAINSFitTest_ScaleSkewVersorScaleNoMasks	3	0.36	0.69	0.58
BRAINSFitTest_ScaleTranslationRescaleHeadMasksInit	3	0.88	1.79	1.49
BRAINSFitTest_ScaleVersorRotationMasks	3	0.33	0.53	0.46
BRAINSFitTest_ScaleVersorRotationNoMasks	3	0.49	0.92	0.78
BRAINSFitTest_ScaleVersorScaleMasks	3	0.40	0.67	0.59
BRAINSFitTest_ScaleVersorScaleNoMasks	3	0.36	0.65	0.55
