test	n	min	median	mean	stdev	cv_pct
BRAINSFitTest_AffineRotationMasks	3	0.69	0.70	0.78	0.12	15.4
BRAINSFitTest_AffineRotationNoMasks	3	1.10	1.10	1.32	0.31	23.3
BRAINSFitTest_AffineScaleMasks	3	0.96	1.01	1.08	0.14	13.0
BRAINSFitTest_AffineScaleNoMasks	3	1.29	1.39	1.53	0.27	17.5
BRAINSFitTest_AffineTranslationMasks	3	0.19	0.21	0.22	0.03	13.4
BRAINSFitTest_AffineTranslationNoMasks	3	0.17	0.17	0.19	0.03	14.9
BRAINSFitTest_BSplineAnteScaleRotationRescaleHeadMasks	3	4.30	4.50	4.94	0.77	15.6
BRAINSFitTest_BSplineOnlyRescaleHeadMasks	3	68.76	71.75	72.05	2.81	3.9
BRAINSFitTest_BSplineScaleRotationHeadMasksUShort	3	2.53	3.82	3.40	0.62	18.1
BRAINSFitTest_BSplineScaleRotationHistogramHeadMasks	3	3.18	3.20	3.19	0.01	0.3
BRAINSFitTest_BSplineScaleRotationHistogramHeadMasksUShort	3	2.17	3.18	2.85	0.48	16.9
BRAINSFitTest_BSplineScaleRotationRescaleHeadMasks	3	3.63	3.64	3.65	0.02	0.6
BRAINSFitTest_MIHAffineRotationMasks	3	0.86	1.05	1.13	0.26	23.3
BRAINSFitTest_MIHScaleSkewVersorRotationMasks	3	0.23	0.25	0.29	0.07	23.2
BRAINSFitTest_MSEAffineRotationMasks	3	0.19	0.28	0.25	0.04	17.0
BRAINSFitTest_MSEMetricBrainToItself	3	0.13	0.17	0.16	0.02	12.0
BRAINSFitTest_MSEScaleSkewVersorRotationMasks	3	0.22	0.27	0.25	0.02	9.3
BRAINSFitTest_NCAffineRotationMasks	3	0.32	0.48	0.43	0.08	18.6
BRAINSFitTest_NCMetricBrainToItself	3	0.11	0.17	0.15	0.03	18.9
BRAINSFitTest_NCScaleSkewVersorRotationMasks	3	0.26	0.34	0.32	0.05	14.4
BRAINSFitTest_RigidAnisotropicMasks	3	1.20	1.20	1.20	0.00	0.0
BRAINSFitTest_RigidMedianRotationNoMasks	3	1.03	1.03	1.03	0.00	0.5
BRAINSFitTest_RigidRotGeomNoMasks	3	1.50	1.52	1.52	0.01	0.8
BRAINSFitTest_RigidRotaRotaRotNoMasks	3	1.91	1.94	1.97	0.06	3.3
BRAINSFitTest_RigidRotationHeadMasks	3	0.92	0.98	0.96	0.03	3.2
BRAINSFitTest_RigidRotationMasks	3	5.40	5.50	5.48	0.06	1.1
BRAINSFitTest_RigidRotationNoMasksRiginInPlaceInterp	3	0.46	0.70	0.63	0.12	19.2
BRAINSFitTest_ScaleRotationRescaleHeadMasksNoInit	3	1.73	2.58	2.34	0.43	18.6
BRAINSFitTest_ScaleSkewVersorRotationMasks	3	0.55	0.92	0.80	0.18	22.1
BRAINSFitTest_ScaleSkewVersorRotationNoMasks	3	0.66	1.28	1.08	0.30	27.5
BRAINSFitTest_ScaleSkewVersorScaleMasks	3	0.50	0.86	0.75	0.18	23.9
BRAINSFitTest_ScaleSkewVersorScaleNoMasks	3	0.37	0.67	0.57	0.14	25.1
BRAINSFitTest_ScaleTranslationRescaleHeadMasksInit	3	0.88	1.73	1.46	0.41	28.2
BRAINSFitTest_ScaleVersorRotationMasks	3	0.36	0.51	0.47	0.08	16.3
BRAINSFitTest_ScaleVersorRotationNoMasks	3	0.50	0.91	0.78	0.20	25.2
BRAINSFitTest_ScaleVersorScaleMasks	3	0.46	0.62	0.58	0.09	14.9
BRAINSFitTest_ScaleVersorScaleNoMasks	3	0.36	0.60	0.52	0.11	21.8
