test	n	min	median	mean
BRAINSAlignMSPTest_T1	5	15.13	15.24	15.30
BRAINSEyeDetectorTest_T1	5	6.07	6.08	6.16
BRAINSTrimForegroundInDirectionTest_T1	5	0.60	0.62	0.62
GTRACTTest_gtractAverageBvalues	5	0.86	0.88	0.89
GTRACTTest_gtractConcatDwi	5	1.36	1.38	1.39
GTRACTTest_gtractResampleDWIInPlace	5	1.26	1.28	1.29
GTRACTTest_gtractResampleDWIInPlace_Rot-15z	5	1.27	1.29	1.31
GTRACTTest_gtractResampleDWIInPlace_Rot15z	5	1.26	1.28	1.28
GTRACTTest_gtractResampleDWIInPlace_Rot30x	5	1.27	1.34	1.32
GTRACTTest_gtractResampleDWIInPlace_Rot30y	5	1.26	1.27	1.28
GTRACTTest_gtractResampleDWIInPlace_Rot45z	5	1.26	1.28	1.29
chk_GTRACTTest_gtractResampleDWIInPlace_Rot-15z	5	0.02	0.02	0.02
chk_GTRACTTest_gtractResampleDWIInPlace_Rot15z	5	0.01	0.02	0.02
chk_GTRACTTest_gtractResampleDWIInPlace_Rot30x	5	0.01	0.02	0.02
chk_GTRACTTest_gtractResampleDWIInPlace_Rot30y	5	0.02	0.02	0.02
chk_GTRACTTest_gtractResampleDWIInPlace_Rot45z	5	0.01	0.02	0.02
chk_insertMidACPCpointTest	5	0.13	0.15	0.14
insertMidACPCpointTest	5	0.15	0.16	0.16
