test	n	min	median	mean
BRAINSAlignMSPTest_T1	5	15.14	15.22	15.23
BRAINSEyeDetectorTest_T1	5	5.94	5.99	5.99
BRAINSTrimForegroundInDirectionTest_T1	5	0.60	0.63	0.64
GTRACTTest_gtractAverageBvalues	5	0.85	0.89	0.94
GTRACTTest_gtractConcatDwi	5	1.35	1.36	1.38
GTRACTTest_gtractResampleDWIInPlace	5	1.25	1.27	1.27
GTRACTTest_gtractResampleDWIInPlace_Rot-15z	5	1.27	1.29	1.37
GTRACTTest_gtractResampleDWIInPlace_Rot15z	5	1.26	1.28	1.34
GTRACTTest_gtractResampleDWIInPlace_Rot30x	5	1.25	1.26	1.26
GTRACTTest_gtractResampleDWIInPlace_Rot30y	5	1.25	1.29	1.28
GTRACTTest_gtractResampleDWIInPlace_Rot45z	5	1.25	1.27	1.27
chk_GTRACTTest_gtractResampleDWIInPlace_Rot-15z	5	0.02	0.02	0.02
chk_GTRACTTest_gtractResampleDWIInPlace_Rot15z	5	0.02	0.02	0.02
chk_GTRACTTest_gtractResampleDWIInPlace_Rot30x	5	0.01	0.02	0.02
chk_GTRACTTest_gtractResampleDWIInPlace_Rot30y	5	0.02	0.02	0.02
chk_GTRACTTest_gtractResampleDWIInPlace_Rot45z	5	0.02	0.02	0.02
chk_insertMidACPCpointTest	5	0.14	0.16	0.17
insertMidACPCpointTest	5	0.15	0.16	0.17
